obs_id,key,value
1,x1,0.034631719833299116
2,x1,0.5234939539582109
3,x1,1.2247660462639003
4,x1,1.5174224186641576
5,x1,2.4325890447260594
6,x1,2.3354129239240504
7,x1,1.9476798190570352
8,x1,2.0041786461851867
9,x1,2.029907210735553
10,x1,0.8183760915422861
11,x1,0.32142995919877837
12,x1,0.34946582664121206
13,x1,0.24967420423857517
14,x1,-0.41817828133420426
15,x1,-1.001022951326359
16,x1,-0.6268394875363239
17,x1,-0.5432534409910019
18,x1,-0.743640492106129
19,x1,-0.3327737667390848
20,x1,-0.5754131028719482
21,x1,0.07249709119233953
22,x1,-0.08659808614877022
23,x1,-0.3385718638527868
24,x1,-0.6685165743286483
25,x1,0.5722005958819947
26,x1,0.45886557304874653
27,x1,0.2202622436878497
28,x1,-0.2827823248324685
29,x1,-0.7832762667660504
30,x1,-0.26640922007079065
31,x1,-0.7568481478026471
32,x1,-0.8980863342619961
33,x1,-1.3780251642574595
34,x1,-1.1663553061693532
35,x1,-0.7982218370787028
36,x1,-0.24892554394069485
37,x1,-0.6873746262172059
38,x1,-1.7335415766426157
39,x1,-0.7381033059827672
40,x1,-0.766356680716873
41,x1,-1.6489970268611343
42,x1,-1.4546449295519992
43,x1,-1.543312011006038
44,x1,-1.6490593447339987
45,x1,-2.4494128684135457
46,x1,-2.3569847727085493
47,x1,-2.4278519069367315
48,x1,-2.2526432786116946
49,x1,-1.5211241436465517
50,x1,-1.9585526381277802
51,x1,-1.934133614778201
52,x1,-1.2081029142742619
53,x1,-0.8023016434696125
54,x1,-0.9668093992421876
55,x1,-1.3767801387571807
56,x1,-1.3369541363053605
57,x1,-1.8591253957936575
58,x1,-1.4484155527146132
59,x1,-1.2375742114421002
60,x1,-2.585170889697388
61,x1,-2.8328925847319413
62,x1,-2.39374312632007
63,x1,-2.43493011758924
64,x1,-1.7577736131807316
65,x1,-1.3315774651624506
66,x1,-2.2448664701392063
67,x1,-2.91596722463528
68,x1,-2.581404061112556
69,x1,-3.4750863755293335
70,x1,-3.442632998206501
71,x1,-3.340265150743419
72,x1,-2.5443247717523976
73,x1,-2.5894599186855887
74,x1,-2.652699266297635
75,x1,-3.055390154898367
76,x1,-2.935428540198989
77,x1,-2.0362185230076704
78,x1,-1.0205796249655692
79,x1,-1.2953872851605563
