ID,Batch,s_id,x1,x2,x3,x4
B001-M01-S001,1,1,50.117118334399734,102.16734609660415,22.067811874422997,13.88952442700288
B001-M01-S002,1,2,46.88733317058001,112.26610220101753,23.19732979242237,13.06470894242796
B001-M01-S003,1,3,50.132744315532555,103.67490795487633,22.319932591041646,13.64748207362366
B001-M01-S004,1,4,48.501042340885775,107.14315588752177,22.162947146108294,14.077757862353858
B001-M01-S005,1,5,49.69044215624964,102.12028303721907,22.248696274275115,13.728665693855225
B001-M01-S006,1,6,49.00807131402552,104.07234971416901,22.303403549263592,13.557682551239647
B001-M01-S007,1,7,49.617962399516024,106.4847069440415,22.928215335276903,13.414390952656458
B001-M01-S008,1,8,49.90286226783218,101.80367587415807,23.386616798699688,13.31192910020057
B001-M01-S009,1,9,49.8324448971784,102.99863691127263,21.611210047734957,14.19745326517309
B001-M01-S010,1,10,49.05356629948195,106.41870231413561,22.351959984021423,13.898116749166338
B001-M01-S011,1,11,48.51303998338095,101.65605363609971,21.475304228832478,14.0656421672052
B001-M01-S012,1,12,50.25686615228983,103.54972867694313,21.752234847407653,13.697504525488851
B001-M01-S013,1,13,48.23687686872942,109.55336700189237,22.87205513581423,13.48375432400975
B001-M01-S014,1,14,48.69301905363317,106.64599867364527,20.912475894618392,14.423827313887855
B001-M01-S015,1,15,49.123316747541246,102.33504790708689,22.403361267300408,13.746119844967785
B001-M01-S016,1,16,48.893853519422315,104.87618735234776,22.149046564091773,13.995389685325172
B001-M01-S017,1,17,50.885905805339455,96.27938124623108,22.22388028261104,13.724930563036377
B001-M01-S018,1,18,50.25462529390281,103.59087822579792,21.605006846486976,14.125813294364363
B001-M01-S019,1,19,50.22334806283206,97.27883919789622,22.86763561739843,13.875713217025533
B001-M01-S020,1,20,48.70034970267194,106.52408761877753,22.44700725468133,13.893577491276009
B001-M01-S021,1,21,50.97608392726949,93.24822883553945,22.507749766673175,13.565297269172031
B001-M01-S022,1,22,48.753993703997594,104.96626927112102,22.596845038260227,13.775102777553027
B001-M01-S023,1,23,50.41353655753918,100.30216197344505,22.47510525906867,13.513108041939168
B001-M01-S024,1,24,51.5315741456501,100.20721895220058,22.281345362411933,13.796809605606576
B001-M01-S025,1,25,50.42277823273959,99.57535217840876,22.715155691726082,13.328876805068127
B001-M01-S026,1,26,50.51465679865766,99.46854172550213,22.559757568722603,13.552713081991218
B001-M01-S027,1,27,49.0257719977001,105.97106408213135,22.501826020972622,13.283810016384887
B001-M01-S028,1,28,49.43749371996439,101.24176493199626,22.503340495238966,13.28461206302952
B001-M01-S029,1,29,49.378227943149895,100.49805629801607,22.30843127569836,13.587599639403603
B001-M01-S030,1,30,48.30681862384443,109.44572170725755,22.910857967636364,13.83982959399857
B001-M01-S031,1,31,49.03168745044099,107.58166386338571,23.080989363529184,13.456671709559398
B001-M01-S032,1,32,50.76198377855014,98.73173349117474,20.988830116152645,14.427338875318275
B001-M01-S033,1,33,49.8725966515119,104.95130753184357,22.47475880168635,13.958949525568649
B001-M01-S034,1,34,50.546985884928176,99.70307724521193,22.489442712170618,13.826492992160352
B001-M01-S035,1,35,50.35459889498901,100.97532632517554,23.09125333093453,12.964922626826645
B001-M01-S036,1,36,48.67827223296482,106.32337338471581,22.987901401175574,12.961758031845457
B001-M01-S037,1,37,50.8237284980695,98.82747415199889,22.708824727028826,13.298617125631571
B001-M01-S038,1,38,52.05857296873474,93.27256845759042,21.93721584073477,13.332882422124657
B001-M01-S039,1,39,50.15280306853779,103.94647542476709,22.77078497838275,13.2883562238893
B001-M01-S040,1,40,50.570753063345705,100.26625377472196,22.752500954134888,13.22836247855045
B001-M01-S041,1,41,49.20936320256795,103.74554932093861,22.801404650970586,13.225684672220048
B001-M01-S042,1,42,50.08030680542199,99.28859221155417,21.848754275741324,14.264576351783731
B001-M01-S043,1,43,48.72764826555114,108.30935606512689,22.85260244583515,13.303149721142262
B001-M01-S044,1,44,47.25162181601073,115.53159671013044,21.53287942679924,14.36069153744179
B001-M01-S045,1,45,48.299850473107384,107.53823824308549,22.779235365927978,13.268423430692224
B001-M01-S046,1,46,50.58641348802693,100.61367311686735,21.672364939629052,14.090611674269821
B001-M01-S047,1,47,51.50427199309742,97.61560866849351,22.03545525430489,13.780006726744793
B001-M01-S048,1,48,50.56450415675315,109.18458709977386,22.08306366260784,13.95494247383759
B001-M01-S049,1,49,49.12562932951698,112.3230416507514,22.874947062167404,13.743787885809516
B001-M01-S050,1,50,49.26864282061913,104.32322801744067,22.265799614985806,14.19417386142504
B001-M01-S051,1,51,49.30531840724382,100.64784566518345,21.81661857174194,14.105073986115862
B001-M01-S052,1,52,48.591893954224666,106.08819659581651,22.63588732324786,13.574217241458102
B001-M01-S053,1,53,50.764953164480794,98.74643374100135,22.52999212441733,13.272511432966434
B001-M01-S054,1,54,48.528957803942156,106.8101570589453,21.725045351328056,13.730788919699494
B001-M01-S055,1,55,50.82635939331106,97.94327781422423,21.548476903550387,14.307622722902503
B001-M01-S056,1,56,49.21548494470238,105.64732676534742,21.41053071629347,14.154576437553137
B001-M01-S057,1,57,49.3562713326769,103.56745575754513,22.3628161489973,13.80976411489825
B001-M01-S058,1,58,50.06532172661421,107.53991041402617,22.190757362266147,13.591638846371799
B001-M01-S059,1,59,48.51798905454004,107.36446745094207,22.016661435293756,13.777187817912953
B001-M01-S060,1,60,50.46346579886642,101.7849873181654,22.787592271809533,13.428885350683338
B001-M01-S061,1,61,50.1610171089025,99.44714121588832,21.736048835599867,14.39060453775211
B001-M01-S062,1,62,47.5628260030528,113.5452854844671,23.228840766535217,13.642431847667913
B001-M01-S063,1,63,49.686818805077934,103.99498568236746,23.08540407877861,13.530812241858717
B001-M01-S064,1,64,48.25162408515833,104.6698615165101,21.64965857224778,13.937028675049866
B001-M01-S065,1,65,49.14574358369771,99.50454229441792,22.169671454958568,14.03080891229517
B001-M01-S066,1,66,50.475971346306764,106.12661459419915,21.77990689701497,13.888954691838077
B001-M01-S067,1,67,51.36914260235124,98.44008999069871,22.078329773650218,14.087964565888864
B001-M01-S068,1,68,51.00143738200582,101.27080572087371,22.718026153483606,13.58095392229327
B001-M01-S069,1,69,47.79626922714958,109.68417148920005,22.078283364741427,14.072118980047183
B001-M01-S070,1,70,49.68618662064391,101.70360755855734,22.863992102110057,13.845082120973789
B002-M01-S001,2,1,51.13919029178652,104.19106140788745,20.744418440113048,10.994166389062434
B002-M01-S002,2,2,51.935214876592404,102.92459298069913,20.07267309259905,11.370066751565329
B002-M01-S003,2,3,52.00768158567485,102.98129263745453,20.597280622493553,10.948178176718184
B002-M01-S004,2,4,50.190188291459116,103.94163209488764,20.054206684086896,11.239121767799459
B002-M01-S005,2,5,53.05575852829356,100.72616266376832,20.410008216869855,11.111469209680777
B002-M01-S006,2,6,54.986297111752606,94.20076166908113,21.60786678912545,10.463997164770866
B002-M01-S007,2,7,52.957173331204565,96.55807777595452,19.971413012272212,11.533402711932993
B002-M01-S008,2,8,52.1305017956071,100.26506028065035,20.92499280146523,10.930404583630567
B002-M01-S009,2,9,52.09264206057282,101.41466936235398,20.498963095529724,11.067702452778208
B002-M01-S010,2,10,53.444123986262106,98.2214857680737,20.376366655110782,11.045847414424935
B002-M01-S011,2,11,52.812207964926685,99.11480151703435,20.472387986683326,11.054391722612541
