A,B,C,D,y
-0.3778178427448164,0.2505045280163034,-0.6173115948883674,1,1.9599301482847002
-0.06561141608295827,1.7922822840913695,0.002634834813193188,1,2.8975650872700767
-1.1780451937642333,-0.43736328347633036,0.4538750892080304,1,4.581144290468513
1.6319151220901629,-0.4596880692712904,0.1946126314032939,1,-2.5942706892280833
1.3497438335433796,0.19599306790760215,-0.5139977571244506,1,-1.3879581068448184
0.5392262839302984,0.2827333793504758,0.367852870873871,1,1.3880413508728626
0.40399141915203846,-0.391438974029012,-0.15007160980256512,1,0.5786764009164871
2.0888889298573483,-1.30774675434007,0.07494667818841018,1,-3.114239377054906
0.42398862619966765,0.21423462872294652,1.0741696539688752,1,1.8455080701491835
1.209523188468802,0.878062266167322,0.48684394750548027,1,-0.23489472279068135
0.14266731732347723,0.2901770481176449,-1.655410888632653,1,0.6791834456298159
0.11697066216920744,0.011957373504436476,1.1771823260308536,1,3.0219072124493436
1.358932261466968,1.193891294351491,0.36527644698006567,1,-0.373554227488405
-0.3882887262238666,0.08099286653779882,1.0438532000923817,1,3.010292375267106
0.4493233787192838,-0.5635596093122729,-0.24091199663754514,1,0.9944093517650318
-0.17942595357204175,-0.28383084972033784,1.7075971072835938,1,3.6492091968876808
1.4661663253371178,0.3937623029864894,0.9015476060201925,1,-0.7265122064780969
1.7694870072455056,-1.8418180929678134,-0.025425775122098558,1,-2.971472496629331
-0.086223957036321075,0.736784085549033,-0.7464253225371127,1,1.8872170460662316
-0.4141593319655157,-0.21623079232686498,0.16058971645888262,1,2.759160735518642
-1.8515710908473937,-0.38503684241566866,0.143800671345923,1,6.480480901482227
1.5905530632602596,0.5821013932441552,0.31473983153195495,1,-1.146939491444067
0.4565364933744423,-1.4043952615988828,-0.8209554607079032,2,5.161696632813105
0.3014941074830219,-1.3160596149355146,1.5508267356268801,2,-2.654189607450206
-1.157757773232981,1.273286847637104,-1.3829778142884486,2,2.4407518767343084
0.5676754681889352,0.26030635027831156,-0.9242911062261613,2,5.288573026295941
0.06378130624239482,-0.16359152295243934,0.4212191864054554,2,-0.3367026639053994
1.8013148485323829,-0.4779212065885025,1.154438370789473,2,1.2418338618967513
